timestamp,open,high,low,close
2022-09-20 18:13:00,0.99671,0.99678,0.99630,0.99673
2022-09-20 18:12:00,0.99664,0.99672,0.99610,0.99660
2022-09-20 18:11:00,0.99674,0.99675,0.99620,0.99662
2022-09-20 18:10:00,0.99670,0.99690,0.99630,0.99660
2022-09-20 18:09:00,0.99663,0.99692,0.99630,0.99688
2022-09-20 18:08:00,0.99670,0.99688,0.99620,0.99662
2022-09-20 18:07:00,0.99660,0.99685,0.99630,0.99684
2022-09-20 18:06:00,0.99690,0.99693,0.99630,0.99677
2022-09-20 18:05:00,0.99692,0.99701,0.99650,0.99689
2022-09-20 18:04:00,0.99692,0.99703,0.99650,0.99695
2022-09-20 18:03:00,0.99687,0.99693,0.99640,0.99691
2022-09-20 18:02:00,0.99660,0.99693,0.99630,0.99687
2022-09-20 18:01:00,0.99659,0.99674,0.99620,0.99673
2022-09-20 18:00:00,0.99656,0.99662,0.99610,0.99658
2022-09-20 17:59:00,0.99617,0.99658,0.99580,0.99656
2022-09-20 17:58:00,0.99629,0.99633,0.99580,0.99619
2022-09-20 17:57:00,0.99632,0.99640,0.99590,0.99627
2022-09-20 17:56:00,0.99635,0.99644,0.99590,0.99634
2022-09-20 17:55:00,0.99658,0.99660,0.99590,0.99637
2022-09-20 17:54:00,0.99655,0.99664,0.99610,0.99658
2022-09-20 17:53:00,0.99633,0.99658,0.99590,0.99656
2022-09-20 17:52:00,0.99638,0.99657,0.99590,0.99631
2022-09-20 17:51:00,0.99657,0.99659,0.99590,0.99636
2022-09-20 17:50:00,0.99673,0.99678,0.99620,0.99658
2022-09-20 17:49:00,0.99677,0.99680,0.99630,0.99670
2022-09-20 17:48:00,0.99657,0.99681,0.99630,0.99677
2022-09-20 17:47:00,0.99638,0.99662,0.99590,0.99655
2022-09-20 17:46:00,0.99627,0.99648,0.99600,0.99636
2022-09-20 17:45:00,0.99620,0.99633,0.99580,0.99628
2022-09-20 17:44:00,0.99624,0.99637,0.99580,0.99618
2022-09-20 17:43:00,0.99637,0.99649,0.99590,0.99628
2022-09-20 17:42:00,0.99652,0.99658,0.99600,0.99636
2022-09-20 17:41:00,0.99603,0.99656,0.99560,0.99654
2022-09-20 17:40:00,0.99610,0.99613,0.99560,0.99602
2022-09-20 17:39:00,0.99625,0.99627,0.99560,0.99610
