timestamp,open,high,low,close
2022-09-20,1.00141,1.00510,0.99510,0.99671
2022-09-16,1.00913,1.01979,0.99430,1.00150
2022-09-09,0.99207,1.01134,0.98620,1.00390
2022-09-02,0.99556,1.00790,0.99100,0.99500
2022-08-26,1.00385,1.00900,0.98990,0.99610
2022-08-19,1.02587,1.02683,1.00300,1.00340
2022-08-12,1.01783,1.03687,1.01570,1.02580
2022-08-05,1.02182,1.02939,1.01210,1.01810
2022-07-29,1.02174,1.02579,1.00950,1.02248
2022-07-22,1.00829,1.02781,1.00770,1.02100
2022-07-15,1.01791,1.01834,0.99500,1.00843
2022-07-08,1.04206,1.04628,1.00710,1.01830
2022-07-01,1.05525,1.06150,1.03650,1.04280
2022-06-24,1.04870,1.06059,1.04670,1.05540
2022-06-17,1.05142,1.06014,1.03570,1.04980
2022-06-10,1.07188,1.07738,1.05040,1.05150
2022-06-03,1.07326,1.07870,1.06250,1.07190
2022-05-27,1.05583,1.07652,1.05571,1.07317
2022-05-20,1.03968,1.06073,1.03870,1.05600
2022-05-13,1.05404,1.05924,1.03480,1.04120
2022-05-06,1.05464,1.06418,1.04810,1.05510
2022-04-29,1.08058,1.08153,1.04690,1.05410
2022-04-22,1.08069,1.09364,1.07600,1.07940
2022-04-15,1.09083,1.09333,1.07560,1.08050
2022-04-08,1.10380,1.10544,1.08350,1.08750
2022-04-01,1.09836,1.11849,1.09430,1.10470
2022-03-25,1.10504,1.10703,1.09590,1.09820
2022-03-18,1.09172,1.11375,1.08990,1.10500
2022-03-11,1.09236,1.11212,1.08040,1.09099
2022-03-04,1.11250,1.12465,1.08840,1.09241
2022-02-25,1.13178,1.13907,1.11040,1.12657
2022-02-18,1.13369,1.13959,1.12780,1.13203
2022-02-11,1.14628,1.14949,1.13280,1.13457
2022-02-04,1.11415,1.14839,1.11370,1.14480
2022-01-28,1.13409,1.13450,1.11200,1.11456
2022-01-21,1.14128,1.14345,1.12980,1.13403
2022-01-14,1.13524,1.14830,1.12830,1.14091
2022-01-07,1.13707,1.13790,1.12710,1.13593
2021-12-31,1.13156,1.13865,1.12720,1.13659
2021-12-24,1.12395,1.13435,1.12330,1.13181
2021-12-17,1.13110,1.13605,1.12200,1.12370
2021-12-10,1.13020,1.13548,1.12250,1.13140
2021-12-03,1.13018,1.13830,1.12340,1.13131
2021-11-26,1.12901,1.13308,1.11850,1.13155
2021-11-19,1.14452,1.14640,1.12480,1.12794
2021-11-12,1.15573,1.16089,1.14310,1.14447
2021-11-05,1.15631,1.16164,1.15120,1.15660
2021-10-29,1.16368,1.16922,1.15330,1.15610
2021-10-22,1.15987,1.16694,1.15700,1.16470
2021-10-15,1.15693,1.16245,1.15230,1.16000
2021-10-08,1.15937,1.16402,1.15270,1.15670
2021-10-01,1.17165,1.17252,1.15610,1.15940
2021-09-24,1.17255,1.17557,1.16820,1.17180
2021-09-17,1.18134,1.18460,1.17211,1.17240
2021-09-10,1.18774,1.18864,1.18000,1.18115
2021-09-03,1.17949,1.19090,1.17810,1.18832
2021-08-27,1.16950,1.18023,1.16912,1.17924
2021-08-20,1.17938,1.18010,1.16620,1.16949
2021-08-13,1.17589,1.18048,1.17040,1.17936
2021-08-06,1.18635,1.18997,1.17530,1.17610
2021-07-30,1.17715,1.19087,1.17610,1.18684
2021-07-23,1.18073,1.18305,1.17500,1.17680
2021-07-16,1.18754,1.18800,1.17700,1.18050
2021-07-09,1.18666,1.18952,1.17820,1.18776
2021-07-02,1.19352,1.19445,1.18060,1.18620
2021-06-25,1.18632,1.19753,1.18460,1.19330
2021-06-18,1.21091,1.21473,1.18460,1.18592
2021-06-11,1.21624,1.22180,1.20910,1.21080
2021-06-04,1.21959,1.22544,1.21020,1.21640
2021-05-28,1.21761,1.22664,1.21310,1.21890
2021-05-21,1.21404,1.22454,1.21240,1.21780
2021-05-14,1.21678,1.21817,1.20500,1.21451
2021-05-07,1.20257,1.21715,1.19840,1.21625
2021-04-30,1.20941,1.21500,1.20150,1.20190
2021-04-23,1.19752,1.21000,1.19410,1.20965
2021-04-16,1.18963,1.19948,1.18690,1.19823
2021-04-09,1.17540,1.19275,1.17360,1.19008
2021-04-02,1.17890,1.17939,1.17020,1.17610
2021-03-26,1.18798,1.19470,1.17600,1.17928
2021-03-19,1.19489,1.19889,1.18720,1.19040
2021-03-12,1.19170,1.19900,1.18340,1.19516
2021-03-05,1.20718,1.21133,1.18920,1.19079
2021-02-26,1.21148,1.22432,1.20600,1.20704
2021-02-19,1.21239,1.21695,1.20210,1.21167
2021-02-12,1.20375,1.21495,1.20180,1.21177
2021-02-05,1.21285,1.21365,1.19510,1.20430
2021-01-29,1.21672,1.21833,1.20570,1.21362
2021-01-22,1.20823,1.21896,1.20520,1.21702
2021-01-15,1.22160,1.22284,1.20720,1.20749
2021-01-08,1.22386,1.23495,1.21910,1.22193
2021-01-01,1.21832,1.23101,1.21794,1.22138
2020-12-25,1.22196,1.22571,1.21280,1.21832
2020-12-18,1.21345,1.22728,1.21140,1.22550
2020-12-11,1.21300,1.21663,1.20570,1.21121
2020-12-04,1.19608,1.21775,1.19220,1.21202
2020-11-27,1.18521,1.19641,1.17990,1.19620
2020-11-20,1.18394,1.18940,1.18120,1.18544
2020-11-13,1.18881,1.19200,1.17440,1.18350
2020-11-06,1.16474,1.18910,1.16020,1.18716
2020-10-30,1.18554,1.18597,1.16380,1.16459
2020-10-23,1.17177,1.18807,1.17010,1.18590
2020-10-16,1.18137,1.18268,1.16870,1.17158
2020-10-09,1.17116,1.18310,1.17077,1.18260
2020-10-02,1.16265,1.17696,1.16130,1.17160
2020-09-25,1.18411,1.18719,1.16110,1.16300
2020-09-18,1.18350,1.19005,1.17360,1.18390
2020-09-11,1.18386,1.19175,1.17510,1.18453
2020-09-04,1.19084,1.20114,1.17790,1.18389
2020-08-28,1.18010,1.19197,1.17610,1.19008
2020-08-21,1.18416,1.19656,1.17530,1.17958
2020-08-14,1.17760,1.18642,1.17090,1.18408
2020-08-07,1.17944,1.19162,1.16940,1.17870
2020-07-31,1.16526,1.19088,1.16410,1.17710
2020-07-24,1.14355,1.16581,1.14010,1.16560
2020-07-17,1.13155,1.14520,1.12990,1.14253
2020-07-10,1.12439,1.13706,1.12430,1.12961
2020-07-03,1.12242,1.13027,1.11840,1.12464
2020-06-26,1.11798,1.13486,1.11670,1.12176
2020-06-19,1.12467,1.13534,1.11660,1.11760
2020-06-12,1.13011,1.14225,1.12110,1.12601
2020-06-05,1.11110,1.13840,1.10990,1.12873
2020-05-29,1.09037,1.11452,1.08690,1.11069
2020-05-22,1.08205,1.10085,1.07980,1.09000
2020-05-15,1.08346,1.08965,1.07730,1.08179
2020-05-08,1.09564,1.09625,1.07640,1.08379
2020-05-01,1.08170,1.10190,1.08080,1.09798
2020-04-24,1.08677,1.08969,1.07250,1.08242
2020-04-17,1.09366,1.09908,1.08100,1.08735
2020-04-10,1.08175,1.09527,1.07670,1.09317
2020-04-03,1.11098,1.11444,1.07710,1.08124
2020-03-27,1.06586,1.11473,1.06560,1.11400
2020-03-20,1.11570,1.12367,1.06360,1.06929
2020-03-13,1.13868,1.14961,1.10530,1.11050
2020-03-06,1.10460,1.13548,1.10350,1.12850
2020-02-28,1.08298,1.10531,1.08040,1.10289
2020-02-21,1.08382,1.08635,1.07770,1.08471
2020-02-14,1.09436,1.09575,1.08260,1.08301
2020-02-07,1.10844,1.10910,1.09400,1.09440
2020-01-31,1.10303,1.10957,1.09910,1.10917
2020-01-24,1.10908,1.11180,1.10190,1.10251
2020-01-17,1.11168,1.11728,1.10840,1.10880
2020-01-10,1.11596,1.12055,1.10840,1.11200
2020-01-03,1.11791,1.12393,1.11230,1.11598
2019-12-27,1.10781,1.11883,1.10680,1.11754
2019-12-20,1.11290,1.11747,1.10650,1.10768
2019-12-13,1.10573,1.11996,1.10520,1.11223
2019-12-06,1.10209,1.11162,1.10010,1.10564
2019-11-29,1.10218,1.10323,1.09800,1.10173
2019-11-22,1.10515,1.10970,1.10130,1.10220
2019-11-15,1.10199,1.10570,1.09880,1.10512
2019-11-08,1.11649,1.11755,1.10150,1.10189
2019-11-01,1.10818,1.11758,1.10710,1.11640
2019-10-25,1.11573,1.11795,1.10710,1.10799
2019-10-18,1.10299,1.11830,1.09890,1.11820
2019-10-11,1.09812,1.10628,1.09390,1.10350
2019-10-04,1.09445,1.09994,1.08780,1.09750
2019-09-27,1.10177,1.10255,1.09040,1.09394
2019-09-20,1.10789,1.10864,1.09890,1.10170
2019-09-13,1.10249,1.11096,1.09260,1.10710
2019-09-06,1.09920,1.10847,1.09240,1.10289
2019-08-30,1.11540,1.11541,1.09610,1.09890
2019-08-23,1.10952,1.11532,1.10500,1.11431
2019-08-16,1.12021,1.12308,1.10650,1.10900
2019-08-09,1.11057,1.12496,1.11040,1.11970
2019-08-02,1.11316,1.11621,1.10250,1.11083
2019-07-26,1.12177,1.12255,1.11000,1.11278
2019-07-19,1.12718,1.12839,1.11980,1.12211
2019-07-12,1.12286,1.12860,1.11920,1.12700
2019-07-05,1.13685,1.13711,1.12060,1.12245
2019-06-28,1.13746,1.14122,1.13430,1.13733
2019-06-21,1.12145,1.13778,1.11800,1.13685
2019-06-14,1.13172,1.13435,1.12010,1.12089
2019-06-07,1.11716,1.13479,1.11590,1.13330
2019-05-31,1.12098,1.12150,1.11150,1.11686
2019-05-24,1.11628,1.12121,1.11060,1.12020
2019-05-17,1.12352,1.12636,1.11540,1.11581
2019-05-10,1.11939,1.12536,1.11650,1.12379
2019-05-03,1.11505,1.12648,1.11340,1.11933
2019-04-26,1.12421,1.12620,1.11090,1.11490
2019-04-19,1.13046,1.13237,1.12240,1.12449
2019-04-12,1.12185,1.13239,1.12130,1.12984
2019-04-05,1.12218,1.12547,1.11820,1.12120
2019-03-29,1.12954,1.13316,1.12080,1.12170
2019-03-22,1.13264,1.14482,1.12720,1.13000
2019-03-15,1.12342,1.13444,1.12200,1.13240
2019-03-08,1.13770,1.13815,1.11750,1.12347
2019-03-01,1.13360,1.14197,1.13330,1.13620
2019-02-22,1.12907,1.13713,1.12740,1.13344
2019-02-15,1.13181,1.13416,1.12330,1.12940
2019-02-08,1.14555,1.14604,1.13170,1.13210
2019-02-01,1.14086,1.15143,1.13890,1.14537
2019-01-25,1.13653,1.14176,1.12880,1.14050
2019-01-18,1.14646,1.14897,1.13520,1.13600
2019-01-11,1.14046,1.15698,1.14020,1.14640
2019-01-04,1.14392,1.15450,1.13080,1.13942
2018-12-28,1.13683,1.14728,1.13410,1.14415
2018-12-21,1.13055,1.14859,1.13020,1.13670
2018-12-14,1.13979,1.14427,1.12680,1.13070
2018-12-07,1.13317,1.14237,1.13099,1.13892
2018-11-30,1.13362,1.14018,1.12650,1.13192
